index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
117538,TJK,Asia,Tajikistan,2021-11-12,17488.0,0.0,0.286,125.0,0.0,0.0,1793.71,0.0,0.029,12.821,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
118145,TZA,Africa,Tanzania,2021-11-12,26196.0,0.0,0.0,725.0,0.0,0.0,425.962,0.0,0.0,11.789,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,
118824,THA,Asia,Thailand,2021-11-12,2004274.0,7305.0,6319.286,19934.0,51.0,46.143,28652.606,104.43,90.339,284.972,0.729,0.66,,,,,,,,,,,,,,,,,,,83320621.0,44809613.0,35800674.0,2710334.0,788090.0,666357.0,119.11,64.06,51.18,3.87,9526.0,,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
119425,TLS,Asia,Timor,2021-11-12,19809.0,0.0,2.0,122.0,0.0,0.0,14740.21,0.0,1.488,90.782,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,,,
120044,TGO,Africa,Togo,2021-11-12,26133.0,0.0,3.714,243.0,0.0,0.0,3082.361,0.0,0.438,28.662,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,,,,
120365,TON,Oceania,Tonga,2021-11-12,1.0,0.0,0.0,,,0.0,9.367,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106759.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,,,,
120974,TTO,North America,Trinidad and Tobago,2021-11-12,61519.0,535.0,419.714,1828.0,10.0,10.714,43836.497,381.224,299.075,1302.575,7.126,7.635,,,,,,,,,,,,,,,,,,,1255986.0,630965.0,625021.0,,2636.0,2757.0,89.5,44.96,44.54,,1965.0,,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
121593,TUN,Africa,Tunisia,2021-11-12,715571.0,82.0,357.143,25306.0,8.0,6.429,59951.839,6.87,29.922,2120.183,0.67,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,
122205,TUR,Asia,Turkey,2021-11-12,8365929.0,23637.0,26722.571,73127.0,217.0,200.429,98373.234,277.943,314.225,859.885,2.552,2.357,,,,,,,,,,,,,,,,,,,118219170.0,55793328.0,49554129.0,12871713.0,189268.0,142250.0,139.01,65.61,58.27,15.14,1673.0,,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,
123469,UGA,Africa,Uganda,2021-11-12,126833.0,70.0,60.857,3236.0,2.0,1.714,2691.5,1.485,1.291,68.671,0.042,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,
124089,UKR,Europe,Ukraine,2021-11-12,3328934.0,25240.0,22101.571,80330.0,782.0,712.0,76585.631,580.673,508.47,1848.076,17.991,16.38,,,,,,,,,,61714.0,15128821.0,348.054,1.42,56856.0,1.308,,,tests performed,20708263.0,12121802.0,8607141.0,,299854.0,225774.0,47.64,27.89,19.8,,5194.0,,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,
